                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5268,                 1.1652,                 1.6759,                0.80532,                0.67708,                0.74243,                0.33032,                 2.0802,                 1.2315,                 2.2956,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.5341,                 1.1807,                 1.6741,                0.84629,                0.64236,                0.71976,                0.32173,                 2.0379,                 1.3704,                 2.2892,               0.000614,               0.000614,               0.000614
                     37,                 1.5236,                 1.1696,                 1.6678,                0.83923,                0.63438,                0.70612,                0.31617,                 2.0578,                 1.3341,                 2.3041,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.5229,                 1.1551,                 1.6644,                0.85504,                0.64236,                0.72707,                0.32616,                 2.0885,                 1.3035,                 2.3113,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.5081,                 1.1228,                 1.6526,                0.86379,                0.66667,                0.73484,                0.32801,                 2.0532,                 1.3049,                 2.2722,              0.0004952,              0.0004952,              0.0004952
                     40,                  1.501,                 1.1106,                 1.6499,                0.84685,                0.69122,                0.74524,                0.32926,                 2.0579,                 1.3116,                 2.2456,              0.0004556,              0.0004556,              0.0004556
                     41,                  1.533,                0.92682,                 1.7759,                0.85267,                0.66667,                0.73006,                 0.3328,                 2.0662,                 1.2194,                 2.2674,               0.000416,               0.000416,               0.000416
                     42,                    1.5,                0.89483,                 1.7117,                0.83314,                0.64931,                0.71775,                0.32263,                 2.0601,                 1.2871,                  2.272,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.4779,                0.85498,                 1.7215,                0.83037,                0.68056,                0.73811,                0.32688,                  2.029,                 1.3412,                 2.2196,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.4932,                0.84884,                 1.7243,                0.82442,                0.66667,                0.69366,                 0.3097,                 2.0246,                 1.3191,                 2.2363,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.4394,                0.83162,                 1.6736,                0.81053,                0.66843,                 0.6907,                0.31254,                 2.0522,                 1.3112,                 2.2871,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.4629,                 0.8279,                 1.7131,                0.83985,                0.66667,                0.67624,                0.30026,                 2.0549,                  1.309,                 2.2891,               0.000218,               0.000218,               0.000218
                     47,                 1.4265,                 0.8005,                 1.6921,                0.79165,                0.66667,                0.70026,                0.31966,                 2.0406,                  1.337,                 2.2834,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.4499,                0.78385,                 1.6911,                0.79345,                0.71181,                0.73884,                0.33777,                 2.0374,                 1.2896,                 2.2782,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.4318,                0.77647,                 1.6996,                0.83698,                0.69525,                0.73711,                0.33756,                  2.045,                  1.311,                 2.2638,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.4203,                0.78602,                 1.6891,                0.83381,                0.66667,                0.71594,                0.33132,                 2.0595,                 1.3276,                 2.2821,               5.96e-05,               5.96e-05,               5.96e-05
